profile,Hs,Tp,beach_slope,water_level
1,3.875,8.52,0.17773,0.295
1,4.176,8.9,0.17773,0.615
1,4.119,8.9,0.17773,0.865
1,4.301,9.77,0.17773,0.945
1,4.119,9.77,0.17773,0.885
1,4.287,9.32,0.17773,0.645
1,4.506,9.32,0.17773,0.315
1,4.364,9.32,0.17773,-0.035
1,4.299,9.32,0.17773,-0.345
1,4.253,9.77,0.17773,-0.555
1,4.025,9.32,0.17773,-0.605
1,3.923,9.32,0.17773,-0.515
1,3.97,9.77,0.17773,-0.285
1,4.109,9.32,0.17773,0.035
1,3.872,8.52,0.17773,0.295
1,4.039,9.32,0.17773,0.415
1,3.908,9.32,0.17773,0.435
1,3.939,9.32,0.17773,0.285
1,4.141,10.27,0.17773,0.095
1,4.107,10.27,0.17773,-0.125
1,3.874,9.77,0.17773,-0.335
1,3.898,8.9,0.17773,-0.455
1,3.704,10.27,0.17773,-0.425
1,3.5952,10.02,0.17773,-0.285
1,3.501,9.77,0.17773,0.045
1,3.385,10.83,0.17773,0.375
1,3.582,9.77,0.17773,0.685
1,3.589,10.83,0.17773,0.905
1,3.531,10.83,0.17773,0.965
1,3.555,10.83,0.17773,0.825
1,3.588,8.52,0.17773,0.615
1,3.567,8.17,0.17773,0.225
1,3.213,8.52,0.17773,-0.125
1,3.29,9.77,0.17773,-0.455
1,3.009,8.17,0.17773,-0.645
1,3.027,11.45,0.17773,-0.635
1,3.02,9.32,0.17773,-0.545
1,2.916,8.52,0.17773,-0.275
1,2.873,9.77,0.17773,0.005
1,2.8738,9.5971,0.17773,0.235
1,2.8752,9.1463,0.17773,0.375
1,2.876,8.52,0.17773,0.385
1,2.656,7.28,0.17773,0.245
1,2.726,9.77,0.17773,0.035
1,2.648,10.83,0.17773,-0.205
1,2.714,10.3,0.17773,-0.375
1,2.78,9.77,0.17773,-0.435
1,2.731,10.27,0.17773,-0.415
1,2.79,11.45,0.17773,-0.215
1,2.872,11.45,0.17773,0.095
1,3.136,12.93,0.17773,0.425
1,3.0897,12.93,0.17773,0.725
1,2.9954,12.93,0.17773,0.915
1,2.92,12.93,0.17773,0.975
1,2.886,10.83,0.17773,0.805
1,2.866,11.45,0.17773,0.545
1,2.924,12.93,0.17773,0.145
1,3.025,12.93,0.17773,-0.155
1,2.951,12.93,0.17773,-0.505
1,2.727,12.93,0.17773,-0.625
1,2.913,12.93,0.17773,-0.585
1,2.726,12.14,0.17773,-0.405
1,2.5072,12.535,0.17773,-0.185
1,2.305,12.93,0.17773,0.095
1,2.166,12.14,0.17773,0.315
1,2.157,11.45,0.17773,0.435
1,2.125,12.14,0.17773,0.445
1,1.924,11.45,0.17773,0.255
1,1.824,11.45,0.17773,0.065
1,1.73,12.14,0.17773,-0.175
1,1.744,10.83,0.17773,-0.335
1,1.603,10.83,0.17773,-0.355
1,1.648,10.83,0.17773,-0.315
1,1.69,10.83,0.17773,-0.075
1,1.763,11.45,0.17773,0.185
1,1.661,10.83,0.17773,0.515
1,1.6618,10.144,0.17773,0.795
1,1.6647,9.3684,0.17773,0.925
1,1.6698,8.5983,0.17773,0.915
1,1.6779,7.9298,0.17773,0.735
1,1.6891,7.4584,0.17773,0.395
1,1.704,7.28,0.17773,0.075
1,1.805,13.82,0.17773,-0.205
1,1.871,7.28,0.17773,-0.465
1,2.115,10.27,0.17773,-0.585
1,2.257,9.77,0.17773,-0.495
1,2.683,9.77,0.17773,-0.325
1,2.8265,9.77,0.17773,-0.085
1,2.883,9.77,0.17773,0.165
1,2.795,10.27,0.17773,0.335
1,2.8464,10.643,0.17773,0.425
1,2.931,10.83,0.17773,0.365
1,2.996,10.83,0.17773,0.195
1,2.758,10.83,0.17773,-0.005
1,2.757,10.83,0.17773,-0.195
1,2.693,11.45,0.17773,-0.345
1,2.601,10.83,0.17773,-0.395
1,2.561,10.27,0.17773,-0.275
1,2.385,10.83,0.17773,-0.045
1,2.342,10.27,0.17773,0.255
1,2.238,10.27,0.17773,0.525
1,2.162,10.27,0.17773,0.735
1,2.3,10.27,0.17773,0.855
1,2.1965,9.585,0.17773,0.805
1,2.093,8.9,0.17773,0.595
1,2.199,9.77,0.17773,0.275
1,2.5,9.77,0.17773,-0.025
1,2.75,10.27,0.17773,-0.285
1,2.623,10.83,0.17773,-0.475
1,2.662,10.83,0.17773,-0.565
1,2.753,10.27,0.17773,-0.425
1,2.716,9.77,0.17773,-0.235
1,2.537,10.27,0.17773,0.005
1,2.501,10.27,0.17773,0.235
1,2.467,8.9,0.17773,0.395
1,2.3841,9.585,0.17773,0.445
1,2.26,10.27,0.17773,0.395
1,2.094,9.32,0.17773,0.205
1,2.203,10.27,0.17773,-0.015
1,2.189,9.32,0.17773,-0.155
2,3.875,8.52,0.15724,0.295
2,4.176,8.9,0.15724,0.615
2,4.119,8.9,0.15724,0.865
2,4.301,9.77,0.15724,0.945
2,4.119,9.77,0.15724,0.885
2,4.287,9.32,0.15724,0.645
2,4.506,9.32,0.15724,0.315
2,4.364,9.32,0.15724,-0.035
2,4.299,9.32,0.15724,-0.345
2,4.253,9.77,0.15724,-0.555
2,4.025,9.32,0.15724,-0.605
2,3.923,9.32,0.15724,-0.515
2,3.97,9.77,0.15724,-0.285
2,4.109,9.32,0.15724,0.035
2,3.872,8.52,0.15724,0.295
2,4.039,9.32,0.15724,0.415
2,3.908,9.32,0.15724,0.435
2,3.939,9.32,0.15724,0.285
2,4.141,10.27,0.15724,0.095
2,4.107,10.27,0.15724,-0.125
2,3.874,9.77,0.15724,-0.335
2,3.898,8.9,0.15724,-0.455
2,3.704,10.27,0.15724,-0.425
2,3.5952,10.02,0.15724,-0.285
